comment_id,text,source,overall,plot,acting,director,music,visual,confidence
30a40b0d2064,phim này mình thấy hay hơn natra . bữa giờ chạy quảng_bá chắc gần 20 page chứ nhiêu,facebook_new,positive,none,none,none,none,none,0.88
49225c33a7e7,ý_nghĩa thì cũng cũng . mình thích art phim này so với mặt_bằng chung hh china,facebook_new,none,neutral,none,none,none,positive,0.85
9c2679b45f6a,"chắc do gu mình thích 2d á . màu_sắc trong movie này cũng bớt "" rực "" hơn các phim hh khác của china",facebook_new,none,none,none,none,none,positive,0.85
e5f5632f08f6,nhưng ai thích kiểu đơn_giản dễ_chịu thì con phim này dịu mắt hơn,facebook_new,positive,none,none,none,none,positive,0.85
e6b1d484fc55,chê phim thì sao review phim hay như này được vui ) chứ ở ngoài người khen cả tháng nay rồi .,facebook_new,positive,none,none,none,none,none,0.85
b08155f1e6ac,ịmôi đi xem ở cgv nà vui ) ),facebook_new,positive,none,none,none,none,none,0.85
1522130c952d,"phim hay tuyệt_vơi luôn , nội_dung mới_lạ , hài có khóc có mà riêng tôi thấy hài nhiều hơn cười vcl . nên coi vietsub để cảm trọn_văn hơn",facebook_new,positive,positive,none,none,none,none,0.96
fdbc3e33f784,hay lồng_tiếng mọi người ớiii,facebook_new,none,none,positive,none,none,none,0.88
b5cb2ed01e40,"nếu ra rạp thì xem lồng_tiếng nha b , quá peak",facebook_new,positive,none,none,none,none,none,0.88
6bb376d54da4,"bản lồng_tiếng dễ_thương lắm , không như doraemon đâu vui ) )",facebook_new,none,none,positive,none,none,none,0.88
7815273f39d9,lồng_tiếng vui hơn,facebook_new,none,none,positive,none,none,none,0.85
7f991541f3f5,coi chán_chè luôn rồi . ễ hươi nó chiêu ở tq đá review rồi,facebook_new,negative,none,none,none,none,none,0.92
dfcb057a45bc,tôi xem phim này ở nhà rồi rạp mới chiếu tiếc hùi_hụi luôn . nó hay mà nó cười ẻ,facebook_new,positive,none,none,none,none,none,0.92
c9bacb6ee376,cười ẻ với cái phim này vui ),facebook_new,positive,none,none,none,none,none,0.95
a790980ce7f3,"phim càng nhiều bài càng dở , điển_hình_như phim vn !",facebook_new,negative,none,none,none,negative,none,0.88
6f92d7ca0d6b,cói lần đầu khóc . chẳng hiểu sao cứ buồn miên_man . lần 2 y lần đầu . ra rạp vẫn y_như 2 lần coi lậu . moẹ cái phim sao mà nó làm mình buồn vl .,facebook_new,positive,positive,none,none,none,none,0.85
3bad9f7c98a4,"so với dạo gần đây cũng là ok rồi . còn cảm_giác các bạn nói phim lên hơi quá thôi . mình thấy kiểu như các bạn xem rác phẩm nhiều quá , nên thấy bộ phim được lại thành quá ok",facebook_new,positive,none,none,none,none,none,0.85
74d9428bf696,phim này cần gì ai review nó hot từ khi ra_mắt tới giờ,facebook_new,positive,none,none,none,none,none,0.92
1a6400bd0253,vui ) ) film này ổn mà chê gì được,facebook_new,positive,none,none,none,none,none,0.96
68f2ba6cd60d,thô nó hay thật nên cô cái gî để chê đâu vui ) ),facebook_new,positive,none,none,none,none,none,0.85
856d70fcf0c8,"hay mà , đâu có chuyện để nói",facebook_new,positive,none,none,none,none,none,0.85
9b1ab6b019a5,"nhieu ẩn_ý . nội_dung hài_hước , phù_hợp với mọi lứa tuổi . tôi 30 tuổi xem vẫn thấy hay",facebook_new,positive,positive,none,none,none,none,0.96
ba24b7242c97,phim hay thì không có trong này,facebook_new,negative,none,none,none,none,none,0.92
e39648977c3b,"review đầy đường , mà phim cũng nhạt nhạt , có hiệu_ứng truyền_thông để review thôi",facebook_new,negative,negative,none,none,none,none,0.88
438a07404442,tôi xem thấy hay . chắc thấy phần_nào trong đó,facebook_new,positive,none,none,none,none,none,0.85
81ef4afa7347,"nó phổ_thông dễ đoán quá thôi ông , do gu cá_nhân tôi thôi",facebook_new,none,negative,none,none,none,none,0.85
2ae0dd3f423d,"phim mô_típ 4 thấy trò đường tăng ra mấy chục năm nay cả trăm phim rồi còn đòi khó đoán gì nữa , cốt chuyện ai cũng biết hết rồi mà đòi hack não kiểu gì ?",facebook_new,negative,negative,none,none,none,none,0.92
7c665b2740ec,hay quá trời . ẩn_ý nhiều cai,facebook_new,positive,positive,none,none,none,none,0.88
7b8d5cd1f62f,đây là phim được review nhiều nhất trong 3 tuần vừa_qua,facebook_new,neutral,none,none,none,none,none,0.92
a406086d644d,coi lồng_tiếng thì quá peak,facebook_new,none,none,positive,none,none,none,0.88
f069de02d787,phim hay nên mới không bị tế ở đây,facebook_new,positive,none,none,none,none,none,0.92
